Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,RAnkleAbduction,Person
0,0.01,27.5,0,4.95,32.45,0,-7.901755,12.804566,9.594689,1
0,0.02,19.91,0,4.95,24.86,0,-4.820748,14.261621,10.246241,1
0,0.03,14.96,0,2.42,17.38,0,-3.940931,12.47339,11.680891,1
0,0.04,12.43,0,4.95,17.38,0,-3.430652,10.684993,10.775293,1
0,0.05,12.43,0,2.42,14.85,0,-2.0835,10.603458,10.454216,1
0,0.06,12.43,0,2.42,14.85,0,-1.183415,10.215532,11.206918,1
0,0.07,9.9,0,2.42,12.32,0,-0.413112,9.52558,10.883625,1
0,0.08,9.9,0,2.42,12.32,0,0.794651,8.826858,10.867852,1
0,0.09,9.9,0,2.42,12.32,100,0.496704,7.784955,10.646037,1
0,0.1,7.48,0,2.42,9.9,0,2.464768,7.517789,11.0826,1
0,0.11,7.48,0,2.42,9.9,0,3.575181,7.133374,12.185037,1
0,0.12,4.95,0,4.95,9.9,0,3.365732,5.371806,12.053195,1
0,0.13,4.95,0,4.95,9.9,0,4.325144,4.777123,12.673256,1
0,0.14,4.95,0,2.42,7.37,0,4.179559,4.787402,12.628763,1
0,0.15,7.48,0,2.42,9.9,0,4.882565,5.046469,12.594491,1
0,0.16,5,0,2.5,7.5,0,4.913236,5.126842,13.214661,1
0,0.17,5,0,2.5,7.5,0,4.511847,4.931632,12.955109,1
0,0.18,5,0,2.5,7.5,0,5.232344,4.77907,12.997949,1
0,0.19,2.5,0,2.5,5,0,4.966438,4.88376,12.77287,1
0,0.2,5,0,2.5,7.5,0,5.129529,4.60429,12.452611,1
0,0.21,5,0,2.5,7.5,0,5.380047,4.079206,12.563367,1
0,0.22,2.5,0,2.5,5,0,5.088544,4.313864,12.758848,1
0,0.23,2.5,0,2.5,5,0,5.652824,4.649702,13.231851,1
0,0.24,2.5,0,2.5,5,0,5.786709,4.393911,13.331425,1
0,0.25,2.5,0,0,2.5,0,5.605214,4.198207,12.94128,1
0,0.26,2.5,0,2.5,5,0,4.632248,4.511906,12.441259,1
0,0.27,2.5,0,2.5,5,0,4.475724,4.990605,12.577029,1
0,0.28,2.5,0,2.5,5,0,4.954472,5.590436,12.588314,1
0,0.29,2.5,0,0,2.5,0,4.821931,5.44912,12.23745,1
0,0.3,2.5,0,2.5,5,0,5.450253,5.761481,12.590854,1
0,0.31,2.44,0,0,2.44,0,4.10267,4.998173,11.773027,1
0,0.32,2.44,0,0,2.44,0,4.50216,5.588042,12.500467,1
0,0.33,4.88,0,0,4.88,60,4.576228,5.451737,12.495739,1
0,0.34,4.88,0,0,4.88,0,3.729899,4.721037,12.218856,1
0,0.35,4.88,0,0,4.88,0,3.398336,4.531665,12.049564,1
0,0.36,4.88,0,2.44,7.32,0,2.901562,4.750496,12.136748,1
0,0.37,21.96,2.44,2.44,26.84,0,1.42955,4.016366,11.487095,1
0,0.38,27.45,7.32,2.44,37.21,0,0.162506,3.055185,11.869452,1
0,0.39,39.65,12.2,2.44,54.29,0,-1.269949,1.651061,11.705552,1
0,0.4,49.41,14.64,2.44,66.49,0,-1.383358,1.558575,12.110579,1
0,0.41,64.66,19.52,2.44,86.62,0,-1.305918,1.671649,12.655715,1
0,0.42,87.23,27.45,2.44,117.12,0,-0.774271,1.724746,12.492667,1
0,0.43,107.36,34.77,4.88,147.01,0,-0.915531,1.529669,11.866008,1
0,0.44,129.93,39.65,4.88,174.46,0,-0.934998,1.621009,11.489787,1
0,0.45,152.5,46.97,7.32,206.79,0,-1.052881,1.366232,11.380572,1
0,0.46,169.1,57,3.8,229.9,0,-1.301105,1.090021,11.458787,1
0,0.47,193.8,64.6,5.7,264.1,0,-1.282117,0.658553,11.616562,1
0,0.48,214.7,76,5.7,296.4,0,-1.029251,0.323597,11.953034,1
0,0.49,239.4,91.2,5.7,336.3,0,-0.988723,0.419002,12.206847,1
0,0.5,256.5,104.5,9.5,370.5,0,-1.173484,-0.004715,12.066784,1
0,0.51,273.6,121.6,9.5,404.7,0,-1.044151,-0.262506,11.709148,1
0,0.52,296.4,142.5,9.5,448.4,0,-0.663821,-0.433007,11.463831,1
0,0.53,319.2,159.6,9.5,488.3,0,-0.095715,-0.663223,11.289331,1
0,0.54,343.9,178.6,9.5,532,0,0.299132,-0.601282,11.521024,1
0,0.55,376.2,201.4,9.5,587.1,0,0.688379,-0.806296,11.83065,1
0,0.56,399,218.5,5.7,623.2,0,1.147229,-0.958909,12.052566,1
0,0.57,423.7,237.5,9.5,670.7,0,1.622603,-0.802017,12.490935,1
0,0.58,440.8,250.8,5.7,697.3,0,1.716708,-1.13072,12.527566,1
0,0.59,461.7,264.1,5.7,731.5,0,1.608829,-1.188415,12.328472,1
0,0.6,475,271.7,3.8,750.5,0,2.341421,-2.305787,12.33243,1
0,0.61,492.45,279.39,6.03,777.87,0,2.455026,-2.012015,12.601235,1
0,0.62,498.48,279.39,6.03,783.9,0,2.601993,-2.229143,12.556679,1
0,0.63,502.5,273.36,6.03,781.89,0,2.770038,-2.511868,12.412033,1
0,0.64,498.48,267.33,6.03,771.84,0,2.529951,-2.112896,12.277573,1
0,0.65,496.47,251.25,6.03,753.75,0,2.552207,-2.107845,12.341509,1
0,0.66,488.43,239.19,6.03,733.65,0,2.521843,-1.894319,12.422424,1
0,0.67,478.38,223.11,6.03,707.52,0,2.919335,-1.935579,12.843507,1
0,0.68,472.35,211.05,6.03,689.43,0,2.028535,-2.286065,11.816141,1
0,0.69,464.31,201,6.03,671.34,0,2.492199,-1.745427,12.39727,1
0,0.7,456.27,190.95,6.03,653.25,0,2.380051,-1.648826,12.516589,1
0,0.71,446.22,184.92,6.03,637.17,0,2.344705,-1.973539,11.941492,1
0,0.72,436.17,176.88,6.03,619.08,0,2.250899,-1.968888,12.014692,1
0,0.73,424.11,168.84,6.03,598.98,0,1.999959,-1.91748,12.385442,1
0,0.74,412.05,160.8,6.03,578.88,0,1.942599,-2.019665,12.332007,1
0,0.75,395.97,154.77,6.03,556.77,0,2.04015,-2.425873,12.095742,1
0,0.76,382.5,143.82,6.12,532.44,0,2.147518,-1.877548,12.264552,1
0,0.77,367.2,139.23,6.12,512.55,0,2.166319,-1.906701,12.393289,1
0,0.78,348.84,131.58,6.12,486.54,0,1.998197,-2.391604,12.270885,1
0,0.79,336.6,126.99,6.12,469.71,0,2.001787,-2.27376,12.404002,1
0,0.8,321.3,122.4,6.12,449.82,0,2.188787,-2.321058,12.394699,1
0,0.81,319.77,119.34,9.18,448.29,0,2.201792,-2.299231,12.356309,1
0,0.82,313.65,116.28,6.12,436.05,0,2.112285,-2.541226,12.608092,1
0,0.83,309.06,108.63,9.18,426.87,0,2.340348,-2.457218,12.558416,1
0,0.84,304.47,104.04,9.18,417.69,0,2.654881,-2.57499,12.656775,1
0,0.85,296.82,96.39,6.12,399.33,0,2.660484,-2.204518,13.002969,1
0,0.86,289.17,87.21,6.12,382.5,0,2.58411,-1.984697,13.336755,1
0,0.87,286.11,81.09,6.12,373.32,0,2.379425,-1.971229,13.377404,1
0,0.88,281.52,71.91,6.12,359.55,0,2.335197,-1.784001,13.48869,1
0,0.89,276.93,67.32,6.12,350.37,0,2.183847,-1.469998,13.881996,1
0,0.9,273.87,61.2,6.12,341.19,0,2.120058,-1.254092,14.165765,1
